Song: (Transpose decimal, others hex)
Line  | CH1           | CH2	          | CH3
      | Patt    Trans | Patt    Trans | Patt    Trans
------+---------------+---------------+--------------
00      '               '               ' 
01      64              '               '
02      64      +4      '               '
03      64      -3      '               '
04      64      -3      '               '
05      64              71              '
06      64      +4      70      -5      '
07      64      -3      70              '
08      64      -3      70              67
09      64              71              20
0a 64 04 70 fb 21 00
0b 64 fd 70 00 22 00
0c 00 00 70 00 67 00
0d 64 00 71 00 20 00
0e 64 04 70 fb 2b 00
0f 64 fd 70 00 22 0c
10 00 00 70 00 67 00
11 64 00 71 00 20 00
12 64 04 71 fb 23 00
13 64 05 70 f9 24 00
14 68 00 72 00 25 00
15 64 09 71 00 69 00
16 64 04 71 fb 27 00
17 64 fd 70 00 28 00
18 6a 00 70 00 63 00
19 01 00 10 00 66 00
1a 01 00 10 00 00 00
1b 01 00 10 00 00 00
1c 01 00 10 00 6b 00
1d 01 00 11 00 66 00
1e 01 00 11 00 00 00
1f 01 00 10 00 00 00
20 01 00 10 00 39 00
21 01 00 10 00 3a 00
22 01 00 10 00 31 00
23 01 00 10 00 32 00
24 01 00 10 00 28 00
25 02 00 11 00 34 00
26 02 00 11 00 35 00
27 01 07 12 00 36 00
28 01 07 12 00 37 00
29 01 00 10 00 30 00
2a 01 00 10 00 31 00
2b 01 00 10 00 32 00
2c 01 00 10 00 28 00
2d 02 00 11 00 34 00
2e 02 00 11 00 35 00
2f 01 07 12 00 36 00
30 01 07 12 00 38 00
31 02 00 11 00 2d 00
32 01 07 12 00 21 00
33 01 00 10 00 22 00
34 01 00 10 00 2a 00
35 02 00 11 00 20 00
36 01 07 12 00 2b 00
37 01 00 10 00 22 0c
38 01 00 10 00 2c 00
39 02 00 11 00 20 00
3a 01 fb 12 00 23 00
3b 01 fc 13 00 24 00
3c 04 00 12 00 25 00
3d 01 00 11 00 26 00
3e 01 fb 12 00 27 00
3f 01 00 10 00 28 00
40 05 00 10 00 39 00
41 01 00 40 00 30 00
42 01 00 40 00 31 00
43 01 00 40 00 32 00
44 01 00 40 00 28 00
45 02 00 11 00 34 00
46 02 00 11 00 35 00
47 01 07 12 00 36 00
48 01 07 12 00 37 00
49 01 00 40 00 30 00
4a 01 00 40 00 31 00
4b 01 00 40 00 32 00
4c 01 00 40 00 28 00
4d 02 00 11 00 34 00
4e 02 00 11 00 35 00
4f 01 07 12 00 36 00
50 01 07 12 00 38 00
51 02 00 40 00 2d 00
52 01 07 12 00 21 00
53 01 00 40 00 22 00
54 01 00 40 00 2a 00
55 02 00 11 00 20 00
56 01 07 12 00 2b 00
57 01 00 40 00 22 0c
58 01 00 40 00 2c 00
59 02 00 11 00 20 00
5a 01 fb 12 00 23 00
5b 01 fc 13 00 24 00
5c 04 00 12 00 25 00
5d 01 00 11 00 26 00
5e 01 fb 12 00 27 00
5f 01 00 10 00 28 00
60 05 00 10 00 60 00
61 02 00 40 00 52 00
62 02 00 41 00 53 00
63 02 00 42 00 54 00
64 02 00 40 00 55 00
65 02 00 40 00 56 00
66 02 00 41 00 57 00
67 02 00 42 00 58 00
68 06 00 40 00 59 00
69 01 00 43 00 5a 00
6a 08 00 41 02 5b 00
6b 08 ff 40 00 5c 00
6c 08 fe 41 00 5d 00
6d 08 fd 40 05 5e 00
6e 08 ff 44 00 5e 02
6f 08 00 40 fc 50 fe
70 05 01 40 fe 50 00
71 02 00 40 00 2d 00
72 01 07 12 00 21 00
73 01 00 40 00 22 00
74 01 00 10 00 2a 00
75 02 00 11 00 20 00
76 01 07 12 00 2b 00
77 01 00 40 00 22 0c
78 01 00 10 00 2c 00
79 02 00 11 00 20 00
7a 01 fb 12 00 23 00
7b 01 fc 13 00 24 00
7c 04 00 12 00 25 00
7d 01 00 11 00 26 00
7e 01 fb 12 00 2f 00
7f 08 fa 13 00 2e 00
80 08 fc 12 00 2f 00
81 08 fd 13 00 2e 00
82 01 fe 12 00 27 00
83 05 00 10 00 28 00
84 09 00 15 00 61 00
85 00 00 00 00 00 00
86 00 00 00 00 00 00
